postcodeDistrict,catsPerHousehold,dogsPerHousehold,pre_1900,1900_1929,1930_1945,1945_1964,1965_1982,1983_1999,2000_present,unknown
AB10,0.164463242,0.188609903,,,,,,,,
AB11,0.206144554,0.236410908,,,,,,,,
AB12,0.300305714,0.344396907,,,,,,,,
AB13,1.145815261,1.314045031,,,,,,,,
AB14,1.008731754,1.156834783,,,,,,,,
AB15,0.531662339,0.609721547,,,,,,,,
AB16,0.41826069,0.479670152,,,,,,,,
AB21,0.508543723,0.583208632,,,,,,,,
AB22,0.271464033,0.31132066,,,,,,,,
AB23,0.225437944,0.258536974,,,,,,,,
AB24,0.108360603,0.124270218,,,,,,,,
AB25,0.103616651,0.118829753,,,,,,,,
AB30,1.330842308,1.526237938,,,,,,,,
AB31,0.600470433,0.688632116,,,,,,,,
AB32,0.164172192,0.188276121,,,,,,,,
AB33,0.789062664,0.904913652,,,,,,,,
AB34,0.841308532,0.964830311,,,,,,,,
AB35,0.446560902,0.512125431,,,,,,,,
AB36,0.615475983,0.705840797,,,,,,,,
AB37,1.050657781,1.204916431,,,,,,,,
AB38,1.144688694,1.312753059,,,,,,,,
AB39,0.643130631,0.737555728,,,,,,,,
AB41,0.813079352,0.932456494,,,,,,,,
AB42,0.627777558,0.719948501,,,,,,,,
AB43,0.832829334,0.955106189,,,,,,,,
AB44,1.252946493,1.436905379,,,,,,,,
AB45,0.5617469,0.644223155,,,,,,,,
AB51,0.822505715,0.943266846,,,,,,,,
AB52,1.916481858,2.197861686,,,,,,,,
AB53,1.625249084,1.863869817,,,,,,,,
AB54,0.493080865,0.565475502,,,,,,,,
AB55,0.946611635,1.085594124,,,,,,,,
AB56,0.120153073,0.13779407,,,,,,,,
AL1,0.159562031,0.182989091,0.12303165644245011,0.20212604187956723,0.17937160140711625,0.13062068413042227,0.11088115259686022,0.1371163750426603,0.10281648933271802,0.01403599916820559
AL10,0.290958154,0.333676928,0.005799297282869734,0.062480285929397354,0.06221748686085222,0.3420694210073244,0.2624899124433798,0.08921415417211899,0.16898530403873663,0.006744138265320872
AL2,0.752996867,0.863552638,0.04328957646243887,0.09328584435119834,0.14917866257873613,0.24269203431981595,0.20465245566437104,0.1239710744873999,0.1222962409247071,0.02063411121133263
AL3,0.338097727,0.387737581,0.18480811617204493,0.12163744770513789,0.12258356465194216,0.18510664131875687,0.17093125827016925,0.09935432540768908,0.09441824900724045,0.021160397467019396
AL4,0.277482578,0.318222854,0.061188653899023664,0.08603839910644821,0.13908028788596827,0.2461215281353655,0.20253452147615417,0.15814337870984005,0.08348339237261311,0.023409838414586954
AL5,0.362910869,0.416193815,0.0632276563496773,0.1441325538405206,0.10815505413050211,0.19466771169776073,0.2784056285359253,0.10601530372294603,0.08435135904120593,0.021044732681461988
AL6,0.87395077,1.002265117,0.0927507651353133,0.08978876482581845,0.0854063806084483,0.21902148462068122,0.2107638816484875,0.17070116951297387,0.1147168171792329,0.01685073646904449
AL7,0.30642059,0.351409575,0.0014149875583395724,0.008966687386040305,0.06433156243522732,0.2608678787153814,0.19485226716583456,0.2882066087859022,0.17400337191430093,0.0073566360389737415
AL8,0.465872942,0.534272884,0.013591528963369136,0.1459653278936681,0.16692547981546227,0.3010570914525365,0.09536539659109176,0.1773875556722238,0.09416253957182673,0.005545080039821591
AL9,1.261791382,1.447048884,0.11729655683676225,0.0722100655882039,0.11215169167521653,0.2607767183816156,0.2127438076473277,0.10747863563164252,0.08786749229332685,0.029475031945904694
