postcode,easting,northing,soilType,elevation,nearestWatercourse,distanceToWatercourse,localAuthority
po9 5ea,472101,108419,Unsurveyed/Urban,40,,1530.0,Havant
Ex15 3XE,313905,113519,Luvisols,130,River Culm,310.0,Mid Devon
PO144RJ,452325,106646,Unsurveyed/Urban,40,,1270.0,Fareham
SE24  9UX,532008,174437,Unsurveyed/Urban,20,River Thames,5290.0,Lambeth
PL2  2YZ,250353,53862,Unsurveyed/Urban,10,Pomphlett Lake,130.0,Plymouth
gu222ws,500739,158609,Unsurveyed/Urban,40,Basingstoke Canal,1020.0,Woking
SN8_1EA,418847,169121,Unsurveyed/Urban,130,River Kennet,260.0,Wiltshire
SE2-0XP,546019,177982,Unsurveyed/Urban,20,,530.0,Greenwich
RG12+1NB,486242,169497,Unsurveyed/Urban,60,,460.0,Bracknell Forest
 SO1 8BJ,438705,115550,Unsurveyed/Urban,30,Tanner's Brook,810.0,Southampton
