dateTime,stationReference,parameter,qualifier,unitName,value
2021-10-10T00:00:00Z,000008,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,000028,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,000075TP,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,000076TP,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,0001,level,Tidal Level,mAOD,2.431
2021-10-10T00:00:00Z,000180TP,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,000181TP,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,000182TP,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,0004,level,Tidal Level,mAOD,1.166
2021-10-10T00:00:00Z,0006,level,Tidal Level,mAOD,2.816
2021-10-10T00:00:00Z,0007,level,Tidal Level,mAOD,2.755
2021-10-10T00:00:00Z,0009,level,Tidal Level,mAOD,3.104
2021-10-10T00:00:00Z,000900,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,000997,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,0019,level,Tidal Level,mAOD,1.18
2021-10-10T00:00:00Z,003066,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,003232,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,004942,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,005588,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,005782,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,006077,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,006403,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,007292,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,008062,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,008632,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,008850,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,010312,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,010660,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,013045,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,0130TH,level,Stage,mASD,0.073
