dateTime,stationReference,parameter,qualifier,unitName,value
2023-10-20T00:00:00Z,4205,level,Stage,mASD,0.137
2023-10-20T00:00:00Z,E6380,level,Stage,mAOD,2.146
2023-10-20T00:00:00Z,E7270,rainfall,Tipping Bucket Raingauge,mm,1.4
2023-10-20T00:00:00Z,2653,level,Stage,mASD,0.119
2023-10-20T00:00:00Z,3697TH,level,Downstream Stage,mASD,1.617
2023-10-20T00:00:00Z,3996,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T00:00:00Z,2321SO,rainfall,Tipping Bucket Raingauge,mm,0.2
2023-10-20T00:00:00Z,0503SO,level,Stage,mASD,0.336
2023-10-20T00:00:00Z,E21589,rainfall,Tipping Bucket Raingauge,mm,0.400
2023-10-20T00:00:00Z,2607TH,level,Downstream Stage,mASD,2.786
2023-10-20T00:00:00Z,1606,rainfall,Tipping Bucket Raingauge,mm,0.2
2023-10-20T00:00:00Z,1503TH,level,Downstream Stage,mASD,1.912
2023-10-20T00:00:00Z,5151TH,level,Stage,mASD,1.229
2023-10-20T00:00:00Z,1489TH,level,Stage,mASD,6.828
2023-10-20T00:00:00Z,E10120,rainfall,Tipping Bucket Raingauge,mm,0.4
2023-10-20T00:00:00Z,E46061,rainfall,Tipping Bucket Raingauge,mm,0.200
2023-10-20T00:00:00Z,4082,level,Stage,mASD,1.615
2023-10-20T00:00:00Z,1602,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T00:00:00Z,552376,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T00:00:00Z,E1890,level,Stage,mASD,0.155
2023-10-20T00:00:00Z,4044,level,Stage,mASD,0.151
2023-10-20T00:00:00Z,1984TH,level,Stage,mASD,1.135
2023-10-20T00:00:00Z,083280,rainfall,Tipping Bucket Raingauge,mm,0.2
2023-10-20T00:00:00Z,2002,level,Stage,mASD,1.249
2023-10-20T00:00:00Z,E22268,rainfall,Tipping Bucket Raingauge,mm,0.400
2023-10-20T00:00:00Z,3806TH,level,Stage,mASD,0.380
2023-10-20T00:00:00Z,E4482,level,Stage,mASD,0.178
2023-10-20T00:00:00Z,2615,level,Stage,mASD,1.869
2023-10-20T00:00:00Z,3232TH,level,Stage,mASD,1.161
2023-10-20T00:00:00Z,4761,level,Stage,mASD,0.178
2023-10-20T00:00:00Z,289102TP,rainfall,Tipping Bucket Raingauge,mm,1.6
2023-10-20T00:00:00Z,2432TH,level,Downstream Stage,mASD,1.679
2023-10-20T00:00:00Z,4177,level,Stage,mASD,1.011
