easting,northing,predicted_risk,predicted_authority
86907,8216,1,Isles of Scilly
91907,8216,1,Isles of Scilly
96907,8216,1,Isles of Scilly
101907,8216,1,Isles of Scilly
106907,8216,1,Isles of Scilly
111907,8216,1,Isles of Scilly
116907,8216,1,Cornwall
121907,8216,2,Cornwall
126907,8216,2,Cornwall
131907,8216,2,Cornwall
136907,8216,2,Cornwall
141907,8216,2,Cornwall
146907,8216,2,Cornwall
151907,8216,2,Cornwall
156907,8216,2,Cornwall
161907,8216,2,Cornwall
166907,8216,1,Cornwall
171907,8216,1,Cornwall
176907,8216,1,Cornwall
181907,8216,2,Cornwall
186907,8216,2,Cornwall
191907,8216,2,Cornwall
196907,8216,2,Cornwall
201907,8216,2,Cornwall
206907,8216,2,Cornwall
211907,8216,2,Cornwall
216907,8216,3,Cornwall
221907,8216,3,Cornwall
226907,8216,3,Cornwall
231907,8216,4,Cornwall
236907,8216,4,Cornwall
241907,8216,4,Cornwall
246907,8216,4,Cornwall
251907,8216,4,Cornwall
256907,8216,3,South Hams
261907,8216,3,South Hams
266907,8216,3,South Hams
271907,8216,3,South Hams
276907,8216,3,South Hams
281907,8216,2,South Hams
286907,8216,2,South Hams
291907,8216,2,South Hams
296907,8216,2,South Hams
301907,8216,3,South Hams
306907,8216,1,South Hams
311907,8216,1,South Hams
316907,8216,2,South Hams
321907,8216,3,Torbay
326907,8216,2,Torbay
331907,8216,3,Torbay
336907,8216,3,Torbay
341907,8216,3,Torbay
346907,8216,2,Dorset
351907,8216,2,Dorset
356907,8216,2,Dorset
361907,8216,2,Dorset
366907,8216,2,Dorset
371907,8216,2,Dorset
376907,8216,2,Dorset
381907,8216,2,Dorset
386907,8216,1,Dorset
391907,8216,1,Dorset
396907,8216,1,Dorset
401907,8216,1,Dorset
406907,8216,1,Dorset
411907,8216,1,Dorset
416907,8216,1,Dorset
421907,8216,1,Dorset
426907,8216,1,Isle of Wight
431907,8216,1,Isle of Wight
436907,8216,1,Isle of Wight
441907,8216,1,Isle of Wight
446907,8216,1,Isle of Wight
451907,8216,1,Isle of Wight
456907,8216,1,Isle of Wight
461907,8216,1,Isle of Wight
466907,8216,1,Isle of Wight
471907,8216,1,Isle of Wight
476907,8216,1,Isle of Wight
481907,8216,1,Isle of Wight
486907,8216,1,Isle of Wight
491907,8216,1,Isle of Wight
496907,8216,1,Isle of Wight
501907,8216,1,Isle of Wight
506907,8216,1,Isle of Wight
511907,8216,1,Chichester
516907,8216,1,Chichester
521907,8216,1,Chichester
526907,8216,4,Wealden
531907,8216,4,Wealden
536907,8216,3,Eastbourne
541907,8216,3,Eastbourne
546907,8216,1,Eastbourne
551907,8216,2,Eastbourne
556907,8216,2,Eastbourne
561907,8216,2,Eastbourne
566907,8216,2,Eastbourne
571907,8216,2,Eastbourne
576907,8216,2,Eastbourne
581907,8216,2,Eastbourne
586907,8216,2,Eastbourne
591907,8216,2,Eastbourne
596907,8216,2,Eastbourne
601907,8216,2,Eastbourne
606907,8216,2,Eastbourne
611907,8216,2,Eastbourne
616907,8216,2,Eastbourne
621907,8216,2,Eastbourne
626907,8216,1,Folkestone and Hythe
631907,8216,1,Folkestone and Hythe
636907,8216,2,Folkestone and Hythe
641907,8216,2,Folkestone and Hythe
86907,13216,1,Isles of Scilly
