postcode,easting,northing,soilType,elevation,nearestWatercourse,distanceToWatercourse,localAuthority,riskLabel,medianPrice,historicallyFlooded
BA10 0AD,368289,134886,Unsurveyed/Urban,70,Combe Brook,770.0,South Somerset,3,520900.0,0
BA10 0AG,368240,134813,Unsurveyed/Urban,60,Combe Brook,840.0,South Somerset,3,513200.0,0
BA10 0AZ,367936,134742,Unsurveyed/Urban,60,Combe Brook,970.0,South Somerset,3,850600.0,0
BA10 0BB,367980,134623,Unsurveyed/Urban,60,Combe Brook,1070.0,South Somerset,6,413100.0,1
BA10 0BH,367942,134697,Unsurveyed/Urban,60,Combe Brook,1010.0,South Somerset,3,525500.0,0
BA10 0BJ,367790,134720,Unsurveyed/Urban,70,Combe Brook,1050.0,South Somerset,3,288400.0,0
BA10 0BL,367700,134600,Unsurveyed/Urban,70,River Brue,220.0,South Somerset,1,511700.0,0
BA10 0BW,367306,134946,Cambisols,90,River Brue,700.0,South Somerset,1,484100.0,0
BA10 0BZ,368075,134362,Arenosols,70,River Brue,360.0,South Somerset,1,517600.0,0
BA10 0DA,367792,134207,Cambisols,80,River Brue,190.0,South Somerset,1,495600.0,0
BA10 0DB,367470,134273,Cambisols,60,River Brue,150.0,South Somerset,6,460800.0,0
BA10 0DH,368034,134924,Unsurveyed/Urban,80,Combe Brook,770.0,South Somerset,3,451300.0,0
BA10 0DL,367717,134061,Cambisols,80,River Brue,320.0,South Somerset,1,465600.0,0
BA10 0DN,368087,134793,Unsurveyed/Urban,70,Combe Brook,880.0,South Somerset,3,503600.0,0
BA10 0DU,368093,134501,Unsurveyed/Urban,70,River Brue,250.0,South Somerset,3,609200.0,0
BA10 0DW,368237,134886,Unsurveyed/Urban,70,Combe Brook,770.0,South Somerset,3,522800.0,0
BA10 0DY,368263,135005,Unsurveyed/Urban,70,Combe Brook,650.0,South Somerset,2,441500.0,0
BA10 0EB,368403,134821,Unsurveyed/Urban,60,Combe Brook,840.0,South Somerset,7,247000.0,1
BA10 0EE,368358,134803,Unsurveyed/Urban,60,Combe Brook,850.0,South Somerset,6,515900.0,1
BA10 0EG,368473,134855,Unsurveyed/Urban,60,Combe Brook,820.0,South Somerset,6,505600.0,1
BA10 0EJ,367934,134644,Unsurveyed/Urban,60,Combe Brook,1060.0,South Somerset,3,526500.0,0
BA10 0EL,368389,135003,Unsurveyed/Urban,70,Combe Brook,660.0,South Somerset,3,253500.0,0
BA10 0ES,368466,135077,Unsurveyed/Urban,70,Combe Brook,600.0,South Somerset,1,500400.0,0
BA10 0ET,368435,134895,Unsurveyed/Urban,60,Combe Brook,770.0,South Somerset,3,464900.0,0
BA10 0FB,368677,135594,Cambisols,90,Combe Brook,400.0,South Somerset,1,467100.0,0
BA10 0HH,368754,135153,Unsurveyed/Urban,80,Combe Brook,690.0,South Somerset,1,482400.0,0
BA10 0HJ,368696,135148,Unsurveyed/Urban,80,Combe Brook,650.0,South Somerset,1,482100.0,0
BA10 0HN,368631,135236,Arenosols,80,Combe Brook,550.0,South Somerset,1,291700.0,0
BA10 0HQ,368545,135022,Unsurveyed/Urban,70,Combe Brook,680.0,South Somerset,3,479100.0,0
BA10 0HS,368626,135742,Cambisols,100,Combe Brook,360.0,South Somerset,1,473700.0,0
BA10 0JF,371985,136808,Stagnosols,120,,770.0,South Somerset,1,491900.0,0
BA10 0JT,372110,136728,Stagnosols,120,River Brue,580.0,South Somerset,1,508500.0,0
BA10 0JY,372131,136237,Stagnosols,90,River Brue,500.0,South Somerset,6,500800.0,0
BA10 0LG,371937,135813,Stagnosols,130,,840.0,South Somerset,2,450900.0,0
BA10 0NB,368219,134264,Cambisols,70,River Brue,520.0,South Somerset,1,501300.0,0
BA10 0NN,367448,133631,Cambisols,90,River Pitt,1110.0,South Somerset,1,502500.0,0
BA10 0NR,367260,133626,Cambisols,80,River Pitt,1220.0,South Somerset,1,469700.0,0
BA10 0NW,367382,133613,Cambisols,90,River Pitt,1130.0,South Somerset,1,516800.0,0
BA10 0PD,367175,133482,Cambisols,70,River Pitt,1170.0,South Somerset,1,447800.0,0
BA10 0PF,367245,133069,Cambisols,60,River Pitt,870.0,South Somerset,5,439700.0,0
BA10 0PL,366632,133511,Cambisols,60,River Brue,2020.0,South Somerset,5,487600.0,0
BA10 0PP,366200,134526,Stagnosols,70,River Brue,1670.0,South Somerset,1,442900.0,0
BA10 0PQ,367230,133173,Cambisols,60,River Pitt,940.0,South Somerset,5,462700.0,0
BA10 0PR,366074,134897,Stagnosols,70,River Brue,1730.0,South Somerset,2,498300.0,0
BA10 0PW,365839,134194,Stagnosols,50,River Brue,1220.0,South Somerset,1,474700.0,0
BA10 0PX,366413,134899,Cambisols,90,River Brue,2020.0,South Somerset,1,437200.0,0
BA10 0PZ,366773,135157,Cambisols,100,River Brue,2460.0,South Somerset,1,445600.0,0
BA10 0QN,371358,137482,Leptosols,110,,400.0,South Somerset,1,519500.0,0
BA10 0QP,368216,135426,Leptosols,80,Combe Brook,230.0,South Somerset,1,478900.0,0
BA10 0QQ,371493,138195,Leptosols,120,,110.0,South Somerset,1,463600.0,0
BA11 1AA,377670,148098,Unsurveyed/Urban,70,River Frome,740.0,Mendip,3,302700.0,1
BA11 1AE,377626,148059,Unsurveyed/Urban,70,River Frome,800.0,Mendip,3,320900.0,0
BA11 1AF,377648,148078,Unsurveyed/Urban,70,River Frome,770.0,Mendip,3,297300.0,1
