postcodeDistrict,catsPerHousehold,dogsPerHousehold,pre_1900,1900_1929,1930_1945,1945_1964,1965_1982,1983_1999,2000_present,unknown
AB10,0.164463242,0.188609903,0.18056965731860886,0.18859950094736666,0.14190401581254572,0.09524750437517746,0.10675548547441262,0.1488804906539899,0.1341230991546346,0.003920246263264145
AB11,0.206144554,0.236410908,0.16051681351055747,0.07603508087082293,0.14420945742292815,0.173464532589012,0.26097327967653566,0.11503183348961533,0.05481206638932558,0.01495693605120286
AB12,0.300305714,0.344396907,0.176766311085064,0.12761523113982687,0.13800449380121108,0.1512041071557175,0.15573884346589517,0.1303094808036069,0.09926204741622616,0.0210994851324524
AB13,1.145815261,1.314045031,0.25767967463700314,0.06209620072297502,0.05053715598946384,0.15400256582826047,0.19216750247672387,0.16020979948112274,0.10508089673671953,0.01822620412773136
AB14,1.008731754,1.156834783,0.25197630096366763,0.06708203571408164,0.047611420356041385,0.11942674589215731,0.13640576869199592,0.15832740187252167,0.18408254982030867,0.0350877766892258
AB15,0.531662339,0.609721547,0.18327762818394763,0.052000385953780905,0.056386825224176845,0.16690329246402283,0.23816792524320962,0.15336083080929838,0.12303867921692956,0.026864432904634382
AB16,0.41826069,0.479670152,0.10027546731309536,0.049658492917245924,0.07541276161303115,0.3112926970633957,0.26015412983836805,0.11651408111797033,0.0767569346847684,0.009935435452125241
AB21,0.508543723,0.583208632,0.1857082528988057,0.06417405548228558,0.06404687964397267,0.1906238579639407,0.2297421285158186,0.1455401352982771,0.10189476213261918,0.01826992806428041
AB22,0.271464033,0.31132066,0.059178602712719304,0.09424814648153768,0.19747722154045655,0.2126792634188787,0.1703593256672256,0.09187063665005177,0.1613081413000271,0.012878662229103317
AB23,0.225437944,0.258536974,0.19082872296144007,0.06889350596418212,0.05490649907623968,0.18306973240613816,0.230642198632669,0.15446784440255798,0.1019246918468122,0.01526680470996062
AB24,0.108360603,0.124270218,0.08739102487646964,0.10256389484611077,0.06238104431789586,0.1458936526567265,0.300450999416064,0.09124113052203102,0.1738871875563627,0.03619106580833943
