postcode,easting,northing,soilType,elevation,nearestWatercourse,distanceToWatercourse,localAuthority,longitude,latitude
PO9 5EA,472101,108419,Unsurveyed/Urban,40,River Ems,1530.0,Havant,-0.9767079270270949,50.87078496260512
EX15 3XE,313905,113519,Luvisols,130,River Culm,310.0,Mid Devon,-3.226066331931104,50.914689234812535
PO14 4RJ,452325,106646,Unsurveyed/Urban,40,River Meon,1270.0,Fareham,-1.257977327630973,50.856967458854015
SE24 9UX,532008,174437,Unsurveyed/Urban,20,River Thames,5290.0,Lambeth,-0.1015174307625329,51.45353334705452
PL2 2YZ,250353,53862,Unsurveyed/Urban,10,Pomphlett Lake,130.0,Plymouth,-4.105463426161191,50.365583256976805
GU22 2WS,500739,158609,Unsurveyed/Urban,40,Basingstoke Canal,1020.0,Woking,-0.5558513608932856,51.317680351954664
SN8 1EA,418847,169121,Unsurveyed/Urban,130,River Kennet,260.0,Wiltshire,-1.7303463407141855,51.42079140377911
SE2 0XP,546019,177982,Unsurveyed/Urban,20,Unknown,530.0,Greenwich,0.10145492034363958,51.48195006405635
RG12 1NB,486242,169497,Unsurveyed/Urban,60,Unknown,460.0,Bracknell Forest,-0.7611787652462114,51.41793821727472
SO1 8BJ,438705,115550,Unsurveyed/Urban,30,Tanner's Brook,810.0,Southampton,-1.450527450147218,50.93810139768308
