postcode,easting,northing,soilType,elevation,nearestWatercourse,distanceToWatercourse,localAuthority,longitude,latitude
RG6 3AP,475996,170644,Gleysols,40.0,River Loddon,630.0,Wokingham,-0.9082459979129939,51.4297138073653
DA11 9BB,561117,175837,Gleysols,0.0,River Thames,210.0,Gravesham,0.3177246147778164,51.458583659282
BS5 6TQ,361138,175498,Unsurveyed/Urban,20.0,River Frome,590.0,"Bristol, City of",-2.5609653344108056,51.47709710903442
RG2 0HZ,471700,169500,Unsurveyed/Urban,40.0,Burghfield Brook,370.0,Reading,-0.9702607485994728,51.41998811580138
DA4 0WE,553664,174039,Unsurveyed/Urban,20.0,River Darent,1370.0,Dartford,0.20975380380453953,51.44449942177314
RG31 6XX,465674,175638,Unsurveyed/Urban,80.0,River Thames,1460.0,West Berkshire,-1.0557711423774727,51.475899713684356
TN31 7BT,591126,120435,Cambisols,20.0,River Tillingham,450.0,Rother,0.719702476291382,50.951653410270886
SW9 8FZ,531426,175489,Unsurveyed/Urban,20.0,River Thames,4100.0,Lambeth,-0.10949813211665128,51.46312255308213
DT8 3JH,345607,105006,Planosols,120.0,Unknown,640.0,South Somerset,-2.7738954176452943,50.842009087822866
BR3 4TX,535666,168653,Unsurveyed/Urban,40.0,Unknown,860.0,Bromley,-0.05111627880112569,51.40069232658979
PO19 9LB,485922,104179,Unsurveyed/Urban,10.0,River Lavant,620.0,Chichester,-0.781328255352065,50.83077904589572
SW15 3JU,524100,174200,Unsurveyed/Urban,40.0,Beverley Brook,2070.0,Wandsworth,-0.21535206329083317,51.453190302565105
RG7 6DT,457443,172010,Luvisols,70.0,River Pang,2410.0,West Berkshire,-1.1748609467364282,51.444175866940746
RG14 9FB,447245,166993,Unsurveyed/Urban,80.0,River Kennet,390.0,West Berkshire,-1.3222518730331896,51.40000875281196
RH10 0PU,526911,136846,Unsurveyed/Urban,70.0,Gatwick Stream,3080.0,Crawley,-0.1881777143932201,51.116857542197295
SE4 2FS,536024,175703,Unsurveyed/Urban,40.0,Ravensbourne River,1910.0,Lewisham,-0.04326788953003819,51.46396028285255
BH11 8PJ,405014,95518,Unsurveyed/Urban,50.0,Unknown,1550.0,"Bournemouth, Christchurch and Poole",-1.9302802209396337,50.7592349327003
BA3 6RN,379601,156054,Leptosols,90.0,River Frome,390.0,Mendip,-2.293998685676827,51.30323702141341
BR3 5DY,538035,169493,Unsurveyed/Urban,30.0,Ravensbourne River,1840.0,Bromley,-0.016755780854432856,51.40766975114125
BS19 4QB,344024,166226,Luvisols,10.0,Stowey Rhyne,1330.0,North Somerset,-2.8058986759922604,51.39229752061662
EX34 9QP,253196,147251,Arenosols,40.0,Unknown,1000.0,North Devon,-4.102851294727491,51.205550673719856
RG5 4JT,476279,172880,Gleysols,50.0,River Loddon,760.0,Wokingham,-0.9036949902753321,51.44977727859681
ME14 1HW,575653,156656,Unsurveyed/Urban,20.0,River Medway,270.0,Maidstone,0.5172759144929556,51.28196178787172
BH15 1DW,401619,91092,Unsurveyed/Urban,10.0,Little Channel,1000.0,"Bournemouth, Christchurch and Poole",-1.9784309649570229,50.7194522376356
BA1 7AN,376587,167141,Unsurveyed/Urban,130.0,By Brook,760.0,Bath and North East Somerset,-2.3379654353295254,51.402809548606825
SN11 8QQ,402606,169544,Cambisols,100.0,River's Brook,700.0,Wiltshire,-1.9639090459779311,51.424898903202084
BA3 4QE,367387,152440,Leptosols,140.0,Wellow Brook,570.0,Mendip,-2.46886589676814,51.27017051112806
BS2 9DT,359775,173346,Unsurveyed/Urban,20.0,River Frome,470.0,"Bristol, City of",-2.580344467226785,51.45765280756029
TW11 8UR,515000,172000,Unsurveyed/Urban,10.0,Longford River,1440.0,Richmond upon Thames,-0.3469718424803272,51.435336737170815
TN38 9SH,578462,110802,Unsurveyed/Urban,30.0,Hollington Stream,510.0,Hastings,0.5348926281825858,50.86917218024503
TW16 5PU,511580,169386,Unsurveyed/Urban,10.0,Portlane Brook,730.0,Spelthorne,-0.3969740584670945,51.412525134202376
SO4 1YU,444347,101269,Unsurveyed/Urban,20.0,Dark Water,540.0,New Forest,-1.3719634567146954,50.809283006447124
ME15 7DJ,576713,154485,Unsurveyed/Urban,60.0,River Medway,1310.0,Maidstone,0.5313868242709323,51.26213206101979
SE11 6EW,530811,178769,Unsurveyed/Urban,10.0,River Thames,1930.0,Lambeth,-0.11713248918254711,51.49274107799197
SN4 8NP,407616,183005,Unsurveyed/Urban,120.0,Woodbridge Brook,1260.0,Wiltshire,-1.8915666878272765,51.545888914688646
BA5 2XB,354432,145448,Cambisols,30.0,St Andrew's Stream,1100.0,Mendip,-2.653662500083571,51.206412179522765
BN17 5NE,503100,101800,Unsurveyed/Urban,10.0,River Arun,750.0,Arun,-0.5381566014274676,50.806591573101684
RH16 2JZ,534618,125581,Unsurveyed/Urban,50.0,Scrase Stream,900.0,Mid Sussex,-0.0823192521961474,51.01386090672674
TQ4 6LL,288888,57190,Cambisols,60.0,River Dart,120.0,Torbay,-3.5648788217601863,50.40404788210971
PL12 6QP,237151,65313,Cambisols,110.0,Unknown,470.0,Cornwall,-4.295909451077183,50.4649737034576
TN2 5GN,560096,138180,Luvisols,120.0,Unknown,1870.0,Tunbridge Wells,0.28617206459073535,51.12054105221783
EX32 0AT,256354,130908,Cambisols,30.0,River Taw,1340.0,North Devon,-4.0511566511099195,51.05949198536143
BS22 9TY,333228,161055,Gleysols,10.0,Uphill Great Rhyne,1100.0,North Somerset,-2.960068627500467,51.34463819278389
ME8 9TP,580459,163458,Unsurveyed/Urban,160.0,Unknown,5960.0,Medway,0.5895529414082947,51.341560332475034
BN5 0FP,522090,114406,Cambisols,0.0,Unknown,1350.0,Horsham,-0.2645674902673998,50.91621188619746
BR5 3WB,547415,168503,Unsurveyed/Urban,40.0,River Cray,1030.0,Bromley,0.11760077549608039,51.396415655768976
SW19 2WH,524321,170180,Unsurveyed/Urban,20.0,River Wandle,3040.0,Merton,-0.21358305896422447,51.41701337658346
BH8 9AX,410816,92773,Unsurveyed/Urban,40.0,The Bourne,3250.0,"Bournemouth, Christchurch and Poole",-1.8481022154284168,50.73447226142577
RH18 5GT,542573,134825,Luvisols,80.0,River Medway,750.0,Wealden,0.03464763352341193,51.095016698091136
BH17 8PH,402899,93967,Podsols,20.0,Unknown,1770.0,"Bournemouth, Christchurch and Poole",-1.9602773963704403,50.74530138262173
PO10 8JZ,477248,105716,Luvisols,10.0,Ham Brook,690.0,Chichester,-0.9041448764692153,50.845818868881075
TN21 0LU,557285,121003,Luvisols,150.0,Waldron Gill,990.0,Wealden,0.238586265052888,50.96697890483138
RG3 3EH,469712,172049,Unsurveyed/Urban,50.0,Unknown,620.0,Reading,-0.9983448381801955,51.44315169886873
GU1 2TG,501959,150651,Unsurveyed/Urban,70.0,River Wey,2060.0,Guildford,-0.5406199069283156,51.24592978272447
SE23 3YY,535421,172625,Unsurveyed/Urban,50.0,Pool River,1790.0,Lewisham,-0.05311996523542348,51.436444790404096
PO7 8NX,470073,110148,Unsurveyed/Urban,40.0,River Ems,1170.0,Havant,-1.0051932406655721,50.8865795388451
DA12 4SY,566303,171775,Unsurveyed/Urban,60.0,Unknown,2040.0,Gravesham,0.3903965252573389,51.42059329976208
BA15 2YH,380992,161217,Leptosols,110.0,River Avon,3020.0,Wiltshire,-2.2743228612534874,51.34970923207893
