postcode,easting,northing,soilType,elevation,nearestWatercourse,distanceToWatercourse,localAuthority,longitude,latitude,postcodeSector,postcodeDistrict
PO9 5EA,472101,108419,Unsurveyed/Urban,40,Unknown,1530.0,Havant,-0.9767079270270949,50.87078496260512,PO9 5,PO9
EX15 3XE,313905,113519,Luvisols,130,River Culm,310.0,Mid Devon,-3.226066331931104,50.914689234812535,EX15 3,EX15
PO14 4RJ,452325,106646,Unsurveyed/Urban,40,River Meon,1270.0,Fareham,-1.257977327630973,50.856967458854015,PO14 4,PO14
SE24 9UX,532008,174437,Unsurveyed/Urban,20,River Thames,5290.0,Lambeth,-0.1015174307625329,51.45353334705452,SE24 9,SE24
BS20 9PR,346765,176083,Unsurveyed/Urban,10,Markham Brook,640.0,North Somerset,-2.7679930617845656,51.481183729056816,BS20 9,BS20
RH10 7DF,529597,136745,Unsurveyed/Urban,90,Gatwick Stream,630.0,Crawley,-0.1498597932711243,51.115349188562,RH10 7,RH10
PL2 2YZ,250353,53862,Unsurveyed/Urban,10,Pomphlett Lake,130.0,Plymouth,-4.105463426161191,50.365583256976805,PL2 2,PL2
GU22 2WS,500739,158609,Unsurveyed/Urban,40,Basingstoke Canal,1020.0,Woking,-0.5558513608932856,51.317680351954664,GU22 2,GU22
SN8 1EA,418847,169121,Unsurveyed/Urban,130,River Kennet,260.0,Wiltshire,-1.7303463407141855,51.42079140377911,SN8 1,SN8
SE2 0XP,546019,177982,Unsurveyed/Urban,20,Unknown,530.0,Greenwich,0.10145492034363958,51.48195006405635,SE2 0,SE2
RG12 1NB,486242,169497,Unsurveyed/Urban,60,Bull Brook,460.0,Bracknell Forest,-0.7611787652462114,51.41793821727472,RG12 1,RG12
SO1 8BJ,438705,115550,Unsurveyed/Urban,30,Tanner's Brook,810.0,Southampton,-1.450527450147218,50.93810139768308,SO1 8,SO1
BH23 1XN,415647,92806,Unsurveyed/Urban,0,Mill Stream,480.0,"Bournemouth, Christchurch and Poole",-1.7796457774704684,50.73465991123538,BH23 1,BH23
BN3 7QN,528161,106811,Unsurveyed/Urban,60,West Arm,5900.0,Brighton and Hove,-0.1809096972426455,50.846633921699215,BN3 7,BN3
BA2 6FF,376166,165612,Unsurveyed/Urban,50,Kennet and Avon Canal,3060.0,Bath and North East Somerset,-2.3439142713107093,51.38904398272262,BA2 6,BA2
SW19 1LR,525287,170137,Unsurveyed/Urban,20,River Wandle,2650.0,Merton,-0.1997139518382111,51.41641447623253,SW19 1,SW19
BN21 9AE,560784,99116,Unsurveyed/Urban,10,Crumbles Sewer,1510.0,Eastbourne,0.27876314033013433,50.769352616153924,BN21 9,BN21
SO31 7PH,450957,108188,Unsurveyed/Urban,50,River Hamble,890.0,Fareham,-1.277196843015499,50.87095460360892,SO31 7,SO31
PO15 7HH,452890,109666,Planosols,20,River Hamble,330.0,Winchester,-1.2495152022611022,50.88407100236911,PO15 7,PO15
TN23 9FA,601229,142520,Unsurveyed/Urban,40,Great Stour,230.0,Ashford,0.8756163509709308,51.14656036534406,TN23 9,TN23
BS8 9AE,357424,173013,Unsurveyed/Urban,70,Unknown,620.0,"Bristol, City of",-2.614139883504806,51.45448637560374,BS8 9,BS8
GU22 2DZ,500740,158617,Unsurveyed/Urban,40,Basingstoke Canal,1020.0,Woking,-0.5558347585114221,51.31775208618066,GU22 2,GU22
BS13 0PD,358574,167947,Unsurveyed/Urban,50,Pigeonhouse Stream,160.0,"Bristol, City of",-2.596995981133293,51.409023120913325,BS13 0,BS13
RH12 9WW,517691,131138,Unsurveyed/Urban,50,River Arun,1590.0,Horsham,-0.3217008637143572,51.06751879971968,RH12 9,RH12
DA13 9WB,565041,174030,Unsurveyed/Urban,20,River Thames,950.0,Gravesham,0.37331294959341005,51.441220428079575,DA13 9,DA13
BS19 2PW,347855,169310,Gleysols,10,Unknown,140.0,North Somerset,-2.751297662630001,51.42039104979441,BS19 2,BS19
