stationReference,stationName,latitude,longitude,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow,easting,northing
0130TH,Ewen,51.674733,-1.9904,0.945,-0.948,0.99,0.0,400760.5717301547,197329.368191835
0144TH,Somerford Keynes,51.650724,-1.973061,1.484,0.325,1.6,0.363,401960.52159829927,194659.38991725
0155TH,Oaksey,51.632205,-2.007169,1.887,-0.242,1.311,0.0,399600.5305638118,192599.4089805572
0184TH,Purton Stoke,51.61322,-1.87404,2.34,0.481,1.89,0.504,408818.5190054804,190495.37424675506
0190TH,Cricklade,51.646694,-1.865536,0.992,0.012,1.083,0.058,409400.52161237545,194219.36622648634
022013,Callerton Lane,55.049407,-1.741713,2.24,-0.15,0.85,0.0,416600.52813564474,572798.1897935545
0260TH,Cirencester,51.724451,-1.972293,1.048,-0.032,0.7000000000000001,0.078,402010.57454624196,202859.3395457439
0278TH,South Cerney,51.673897,-1.934146,1.47,0.3,1.31,0.345,404650.56379307027,197238.38360710136
0290TH,Cerney Wick,51.665333,-1.891795,0.709,-0.093,0.6000000000000001,0.015,407580.554535007,196289.3763871194
0311TH,Rushey Platt,51.553565,-1.803214,2.188,0.72,1.69,0.735,413740.52455004444,183871.47076409005
0319TH,Rodbourne,51.571821,-1.816698,2.463,-0.046,1.32,0.034,412800.55382146273,185899.43532090515
0350TH,Rainham Main FD,51.500306,0.181352,2.066,0.05,1.25,0.151,551505.5331332292,180185.42174393506
0390TH,Water Eaton,51.64017,-1.826539,2.5869999999999997,0.5,1.901,0.625,412100.5083240197,193499.44816855577
0470TH,Ampney St Peter,51.710647,-1.889951,1.23,-0.276,0.93,0.044,407700.5145516819,201329.39589371558
0490TH,Sheeppen Bridge,51.654587,-1.849612,1.108,-0.231,1.45,0.0,410500.5257514599,195099.3646725053
0503SO,Stonebridge,51.132785,0.453941,3.4,0.02,1.78,0.082,571790.5550180782,139919.59433226645
0530TH,Whetstone Bridge,51.667039,-1.816893,1.436,-0.532,1.273,-0.6000000000000001,412760.54744622315,196489.4285509038
055002_TG_301,Belmont,52.045084,-2.752202,6.987,0.083,3.8,0.175,348508.5446123943,238788.25261890842
055003_TG_316,Lugwardine,52.061919,-2.659977,2.999,0.0,2.4,0.153,354850.56472153804,240599.24502111482
055013_TG_326,Titley Mill,52.220498,-2.984666,2.398,0.042,1.0,0.062,332830.57027354214,258489.21448107532
055014_TG_306,Byton,52.276841,-2.932709,2.176,0.229,1.3,0.279,336460.5685270343,264709.1311858977
055018_TG_327,Yarkhill,52.081299,-2.563805,2.65,0.099,1.6,0.188,361460.5538823241,242699.24973977148
055021_TG_305,Butts Bridge,52.226571,-2.730348,3.756,0.717,2.6,0.763,350210.56295365014,258959.1178674399
055027_TG_328,Sandford Bridge,51.928793,-2.524006,1.229,0.026,0.313,0.075,364065.55608703947,225716.3199724654
055028_TG_9302,Bishops Frome,52.137017,-2.488532,2.075,0.079,0.9,0.123,366660.5439190437,248859.21817946754
055031_TG_329,Three Elms,52.069153,-2.743532,1.292,0.001,0.408,0.129,349130.5603374891,241459.20338597384
055040,Bromyard,52.191185,-2.501355,3.244,0.03,2.3,0.048,365824.5702742657,254890.2155316519
055041,Ford Bridge LVL,52.191958,-2.718663,2.066,0.05,1.25,0.151,350970.5190325372,255101.20488072766
055807_TG_320,Hereford Bridge,52.051748,-2.720173,6.111,-0.02,3.3,0.096,350712.51343842864,239507.1917695988
055811_TG_9303,Bredwardine,52.096497,-2.969481,6.991,0.093,3.8,0.27,333683.5307513771,244683.1905953536
055816_TG_319,Mordiford,52.026391,-2.629867,5.504,0.037,3.6,0.467,356880.54030959005,236629.29818184208
055817_TG_323,Ross On Wye,51.915339,-2.587573,5.1,0.0,3.2,0.254,359682.561236034,224253.31780539287
