postcode,postcodeDistrict,postcodeSector,easting,northing,longitude,latitude,soilType,elevation,nearestWatercourse,distanceToWatercourse,localAuthority,riskLabel,medianPrice,historicallyFlooded
BA10 0AD,BA10,BA10 0,368289,134886,-2.4543810461317124,51.11238207088501,Unsurveyed/Urban,70,Combe Brook,770.0,South Somerset,3,520900.0,0
BA10 0AG,BA10,BA10 0,368240,134813,-2.4550745532832035,51.111722947552494,Unsurveyed/Urban,60,Combe Brook,840.0,South Somerset,3,513200.0,0
BA10 0AZ,BA10,BA10 0,367936,134742,-2.4594107513804153,51.11106754166261,Unsurveyed/Urban,60,Combe Brook,970.0,South Somerset,3,850600.0,0
BA10 0BB,BA10,BA10 0,367980,134623,-2.458771635615188,51.10999998924354,Unsurveyed/Urban,60,Combe Brook,1070.0,South Somerset,6,413100.0,1
BA10 0BH,BA10,BA10 0,367942,134697,-2.459321031382159,51.11066324865134,Unsurveyed/Urban,60,Combe Brook,1010.0,South Somerset,3,525500.0,0
BA10 0BJ,BA10,BA10 0,367790,134720,-2.4614943077411953,51.11086150590983,Unsurveyed/Urban,70,Combe Brook,1050.0,South Somerset,3,288400.0,0
BA10 0BL,BA10,BA10 0,367700,134600,-2.462769118598115,51.109777409670365,Unsurveyed/Urban,70,River Brue,220.0,South Somerset,1,511700.0,0
BA10 0BW,BA10,BA10 0,367306,134946,-2.468428494006188,51.11286613923612,Cambisols,90,River Brue,700.0,South Somerset,1,484100.0,0
BA10 0BZ,BA10,BA10 0,368075,134362,-2.457391466209783,51.10765845347764,Arenosols,70,River Brue,360.0,South Somerset,1,517600.0,0
BA10 0DA,BA10,BA10 0,367792,134207,-2.461419779483098,51.10624883750394,Cambisols,80,River Brue,190.0,South Somerset,1,495600.0,0
BA10 0DB,BA10,BA10 0,367470,134273,-2.4660248582875752,51.1068240454359,Cambisols,60,River Brue,150.0,South Somerset,6,460800.0,0
BA10 0DH,BA10,BA10 0,368034,134924,-2.4580270623959493,51.112709539282925,Unsurveyed/Urban,80,Combe Brook,770.0,South Somerset,3,451300.0,0
BA10 0DL,BA10,BA10 0,367717,134061,-2.462477892424757,51.10493180328065,Cambisols,80,River Brue,320.0,South Somerset,1,465600.0,0
BA10 0DN,BA10,BA10 0,368087,134793,-2.457258328528877,51.111534581332435,Unsurveyed/Urban,70,Combe Brook,880.0,South Somerset,3,503600.0,0
BA10 0DU,BA10,BA10 0,368093,134501,-2.4571467019410225,51.10890931714987,Unsurveyed/Urban,70,River Brue,250.0,South Somerset,3,609200.0,0
BA10 0DW,BA10,BA10 0,368237,134886,-2.4551238585361492,51.11237918052801,Unsurveyed/Urban,70,Combe Brook,770.0,South Somerset,3,522800.0,0
BA10 0DY,BA10,BA10 0,368263,135005,-2.4547629607974453,51.11345064786622,Unsurveyed/Urban,70,Combe Brook,650.0,South Somerset,2,441500.0,0
BA10 0EB,BA10,BA10 0,368403,134821,-2.4527468579417993,51.11180392511809,Unsurveyed/Urban,60,Combe Brook,840.0,South Somerset,7,247000.0,1
BA10 0EE,BA10,BA10 0,368358,134803,-2.4533880838366358,51.11163958105939,Unsurveyed/Urban,60,Combe Brook,850.0,South Somerset,6,515900.0,1
BA10 0EG,BA10,BA10 0,368473,134855,-2.4517499126798903,51.1121135151538,Unsurveyed/Urban,60,Combe Brook,820.0,South Somerset,6,505600.0,1
BA10 0EJ,BA10,BA10 0,367934,134644,-2.4594305780035763,51.11018623534906,Unsurveyed/Urban,60,Combe Brook,1060.0,South Somerset,3,526500.0,0
BA10 0EL,BA10,BA10 0,368389,135003,-2.4529628513581843,51.11343965427918,Unsurveyed/Urban,70,Combe Brook,660.0,South Somerset,3,253500.0,0
BA10 0ES,BA10,BA10 0,368466,135077,-2.451869385396942,51.114109304019784,Unsurveyed/Urban,70,Combe Brook,600.0,South Somerset,1,500400.0,0
BA10 0ET,BA10,BA10 0,368435,134895,-2.452296247245032,51.11247108693245,Unsurveyed/Urban,60,Combe Brook,770.0,South Somerset,3,464900.0,0
