postcode,easting,northing,soilType,elevation,nearestWatercourse,distanceToWatercourse,localAuthority,postcodeDistrict,Unnamed: 0,catsPerHousehold,dogsPerHousehold,pre_1900,1900_1929,1930_1945,1945_1964,1965_1982,1983_1999,2000_present,unknown,latitude,longitude,medianPrice,historicallyFlooded
RG6 3AP,475996,170644,Gleysols,0.0,River Loddon,0.0,Wokingham,RG6,2067.0,0.236904822,0.27168743,0.0349238706140237,0.0378250627735627,0.250776360805688,0.1999719528069134,0.1669510919156795,0.2377671113262005,0.0644285343882354,0.0073560153696965,51.4297138073653,-0.9082459979129939,486954.5,0
DA11 9BB,561117,175837,Gleysols,0.0,,210.0,Gravesham,DA11,511.0,0.362354515,0.415555775,0.1855772100213994,0.1549994983378158,0.1137460954234187,0.1725611514337922,0.1406518936745828,0.1079806892271256,0.1102000724256723,0.0142833894561928,51.458583659282006,0.3177246147778164,486954.5,0
BS5 6TQ,361138,175498,Unsurveyed/Urban,0.0,River Frome,590.0,"Bristol, City of",BS5,284.0,0.256038874,0.293630764,0.121961112832359,0.3923343663319789,0.0881446687039877,0.0867455263876649,0.1442008033926837,0.0678957266851638,0.0839723733889217,0.0147454222772401,51.47709710903441,-2.560965334410805,486954.5,0
RG2 0HZ,471700,169500,Unsurveyed/Urban,40.0,,0.0,,RG2,2048.0,0.334863888,0.384028946,0.0690661914749327,0.0691844220206767,0.1918438174286777,0.1832685147511776,0.1444849670155497,0.089929736349726,0.2299394564944689,0.0222828944647903,51.419988115801374,-0.970260748599473,486954.5,0
DA4 0WE,553664,174039,Unsurveyed/Urban,20.0,River Darent,0.0,,DA4,521.0,0.450116855,0.516203472,0.194732374956685,0.1011126012531405,0.0701291457598886,0.2276398274666769,0.1889412706776548,0.0890732700078836,0.1165777335418715,0.0117937763361987,51.44449942177313,0.20975380380453953,486954.5,0
RG31 6XX,465674,175638,,80.0,River Thames,1460.0,West Berkshire,RG31,2060.0,0.175414148,0.201168633,0.0618053062852109,0.0381208493377061,0.0393744965296968,0.2251036982263299,0.3761768349681744,0.181345433586139,0.0723183405757872,0.0057550404909553,51.47589971368435,-1.0557711423774727,486954.5,0
TN31 7BT,591126,120435,,0.0,River Tillingham,450.0,Rother,TN31,2529.0,0.585062603,0.670962092,0.3095582145825539,0.0774784172005603,0.1144023877111285,0.0926035257118304,0.1711173023362883,0.1139929652837775,0.1001321914081211,0.0207149957657397,50.951653410270886,0.719702476291382,486954.5,0
SW9 8FZ,531426,175489,Unsurveyed/Urban,0.0,River Thames,4100.0,Lambeth,SW9,2427.0,0.052000541,0.059635314,0.2707850960851926,0.0242710811443289,0.0397017735788459,0.1045230524334408,0.2911090441169792,0.0629374658342771,0.1936547476272975,0.0130177391796377,51.46312255308212,-0.10949813211665169,486954.5,0
DT8 3JH,345607,105006,Planosols,120.0,,640.0,,DT8,643.0,0.997433162,1.143877319,0.3095570183735178,0.0212399605220607,0.0268289672243782,0.1267050558388861,0.1895803853098457,0.2254318875752188,0.0824723856919762,0.0181843394641163,50.842009087822866,-2.7738954176452943,486954.5,0
BR3 4TX,535666,168653,Unsurveyed/Urban,40.0,,0.0,Bromley,BR3,246.0,0.110157651,0.12633111,0.0889537665212773,0.206826793658451,0.1947982121329925,0.0817765893932923,0.2226863018317632,0.1059058957754152,0.0931382707649322,0.005914169921876,51.400692326589784,-0.05111627880112569,486954.5,0
PO19 9LB,485922,104179,Unsurveyed/Urban,10.0,,620.0,,PO19,2006.0,0.229863698,0.263612521,0.1537832067600443,0.0761688956371526,0.0789345394812491,0.1133791585970647,0.1799014080212147,0.1646075316284436,0.2099681963883651,0.0232570634864655,50.83077904589571,-0.781328255352065,486954.5,0
SW15 3JU,524100,174200,Unsurveyed/Urban,40.0,,2070.0,,SW15,2406.0,0.130311175,0.149443596,0.230820802998854,0.1023080947183268,0.086526583920975,0.2264177775818287,0.1908474203625395,0.0375338806954286,0.1149590573409988,0.0105863823810484,51.4531903025651,-0.2153520632908336,486954.5,0
RG7 6DT,457443,172010,Luvisols,70.0,,0.0,West Berkshire,RG7,2068.0,0.792604611,0.908975631,0.1939186193677976,0.065669344759418,0.0425794765678252,0.1688214883271913,0.1960055583120003,0.1557436554738225,0.1536594253316135,0.0236024318603314,51.444175866940746,-1.1748609467364282,486954.5,0
RG14 9FB,447245,166993,Unsurveyed/Urban,0.0,River Kennet,390.0,West Berkshire,RG14,2044.0,0.731637807,0.839057618,0.1384060567604335,0.0473941188105189,0.0385154193789537,0.1402170398361145,0.1979914753535,0.1701846132124259,0.2519009095110142,0.015390367137039,51.40000875281196,-1.3222518730331896,486954.5,0
RH10 0PU,526911,136846,Unsurveyed/Urban,70.0,Gatwick Stream,0.0,Crawley,RH10,2072.0,0.234058011,0.268422647,0.0215307146442801,0.0163095386499516,0.0659915329212113,0.4323546944867543,0.2010936874847897,0.1364642146109411,0.1028380942747485,0.023417522927323,51.11685754219729,-0.1881777143932201,486954.5,0
SE4 2FS,536024,175703,,0.0,Ravensbourne River,1910.0,Lewisham,SE4,2229.0,0.093564429,0.107301655,0.4583380904209326,0.0932145940027743,0.0969714222675688,0.1828360220492024,0.0349761458246081,0.0446364082672278,0.0534788200947265,0.0355484970729592,51.46396028285255,-0.04326788953003819,486954.5,0
BH11 8PJ,405014,95518,Unsurveyed/Urban,50.0,,0.0,"Bournemouth, Christchurch and Poole",BH11,180.0,0.261857902,0.300304148,0.0100983482628488,0.0312634190936082,0.0801701689471107,0.3982086122163294,0.249552750154787,0.1620458381249316,0.0666032288125075,0.0020576343878765,50.759234932700295,-1.9302802209396337,486954.5,0
BA3 6RN,379601,156054,,90.0,,390.0,Mendip,BA3,132.0,0.539025834,0.618166159,0.2648312876841303,0.0754198749860994,0.0531182204269028,0.1393471293552778,0.2096754883327112,0.1268043505868625,0.1060187506937865,0.0247848979342291,51.30323702141341,-2.293998685676827,486954.5,0
BR3 5DY,538035,169493,,0.0,Ravensbourne River,1840.0,Bromley,BR3,246.0,0.110157651,0.12633111,0.0889537665212773,0.206826793658451,0.1947982121329925,0.0817765893932923,0.2226863018317632,0.1059058957754152,0.0931382707649322,0.005914169921876,51.40766975114125,-0.01675578085443286,486954.5,0
BS19 4QB,344024,166226,Luvisols,0.0,Stowey Rhyne,1330.0,North Somerset,BS19,,,,,,,,,,,,51.39229752061662,-2.8058986759922604,486954.5,0
EX34 9QP,253196,147251,,40.0,,1000.0,,EX34,810.0,1.240168046,1.422250787,0.4579543897728502,0.0686233352235945,0.0505847168338242,0.0625656138368796,0.1482086500947263,0.0818355283398908,0.0975724702050824,0.0326552956931518,51.20555067371985,-4.1028512947274915,486954.5,0
RG5 4JT,476279,172880,,50.0,River Loddon,0.0,Wokingham,RG5,2066.0,0.325439149,0.373220458,0.0189264900308087,0.0163519573794244,0.0998751861371005,0.336158539616121,0.2774804875481854,0.1645475665909609,0.0815921317970806,0.0050676409003181,51.449777278596805,-0.9036949902753321,486954.5,0
ME14 1HW,575653,156656,Unsurveyed/Urban,20.0,,270.0,Maidstone,ME14,1510.0,0.699623237,0.802342637,0.2130394154071901,0.052081863519071,0.0634367074019607,0.1102851806861486,0.1992926908947488,0.1340932522252989,0.2081005471153736,0.0196703427502079,51.28196178787172,0.5172759144929556,486954.5,0
BH15 1DW,401619,91092,Unsurveyed/Urban,0.0,,1000.0,"Bournemouth, Christchurch and Poole",BH15,184.0,0.24593802,0.282046892,0.0778576531903136,0.1016210666798567,0.1236257610147386,0.1125269832588834,0.2478633442663744,0.1269228056644491,0.1850970613156095,0.0244853246097745,50.71945223763559,-1.9784309649570229,486954.5,0
BA1 7AN,376587,167141,Unsurveyed/Urban,0.0,,760.0,Bath and North East Somerset,BA1,120.0,0.407478671,0.467305106,0.5592017505617232,0.0322314647024295,0.0470896335031651,0.1099581906467656,0.1108238025250551,0.0552300475940385,0.0671649609877287,0.018300149479094,51.40280954860682,-2.3379654353295254,486954.5,0
SN11 8QQ,402606,169544,,100.0,River's Brook,0.0,Wiltshire,SN11,2292.0,0.532090948,0.610213085,0.1747509569305398,0.030062958679133,0.0476776873517874,0.1601991164415492,0.1742424419378744,0.2082935190334886,0.1955682711685636,0.0092050484570638,51.42489890320208,-1.9639090459779311,486954.5,0
BA3 4QE,367387,152440,Leptosols,0.0,,570.0,Mendip,BA3,132.0,0.539025834,0.618166159,0.2648312876841303,0.0754198749860994,0.0531182204269028,0.1393471293552778,0.2096754883327112,0.1268043505868625,0.1060187506937865,0.0247848979342291,51.27017051112806,-2.46886589676814,486954.5,0
BS2 9DT,359775,173346,Unsurveyed/Urban,0.0,River Frome,470.0,"Bristol, City of",BS2,259.0,0.319827308,0.366784681,0.0995560722989298,0.2457901115688751,0.0417206408310006,0.0853029310833203,0.1361406785436253,0.0633040662198745,0.3069614889151096,0.0212240105392647,51.45765280756029,-2.5803444672267855,486954.5,0
TW11 8UR,515000,172000,Unsurveyed/Urban,0.0,Longford River,1440.0,Richmond upon Thames,TW11,2617.0,0.386178694,0.442877845,0.2371134039616954,0.3297247648112543,0.0537474125628996,0.0458552150595169,0.1562151978539559,0.0913042979047367,0.070325351019999,0.0157143568259419,51.43533673717081,-0.3469718424803272,486954.5,0
TN38 9SH,578462,110802,,30.0,,0.0,Hastings,TN38,2536.0,0.216736609,0.2485581,0.1902296219090814,0.0416474441702792,0.0759667524373648,0.1054474679545601,0.2555373124694005,0.1939933402305332,0.1328672344658817,0.0043108263628989,50.86917218024504,0.5348926281825858,486954.5,0
TW16 5PU,511580,169386,,10.0,Portlane Brook,730.0,Spelthorne,TW16,2622.0,0.437642933,0.501898117,0.0485951132131141,0.0832689736855068,0.149041656060404,0.3335762521515147,0.1850471450356585,0.1005695584003557,0.0871671410092614,0.0127341604441844,51.412525134202376,-0.39697405846709444,486954.5,0
SO4 1YU,444347,101269,Unsurveyed/Urban,0.0,Dark Water,540.0,New Forest,SO4,,,,,,,,,,,,50.809283006447124,-1.3719634567146954,486954.5,0
