stationReference,stationName,latitude,longitude,easting,northing
000008,Rainfall station,53.480556,-1.441674,437150.5121079242,398348.710960156
000028,Rainfall station,53.500289,-1.673575,421750.53463110205,400448.6424699013
000075TP,Rainfall station,51.084022,-0.214597,525150.530744493,133149.5744800252
000076TP,Rainfall station,51.701508,-0.747539,486650.5319677696,201049.40543426108
000180TP,Rainfall station,51.618838,0.173236,550550.5347969393,193349.37981553192
000181TP,Rainfall station,51.730021,0.040992,541050.5377068998,205449.34706647252
000182TP,Rainfall station,51.885257,-0.156869,526950.5759402323,222349.29410988453
000900,Rainfall station,55.591879,-1.854785,409250.5700793856,633148.0326076475
000997,Rainfall station,55.58067,-1.645446,422450.544924545,631947.9814993477
003066,Rainfall station,55.350136,-2.171067,389250.5263133976,606248.0499648493
003232,Rainfall station,55.312483,-1.909373,405850.53912097507,602048.0644998031
004942,Rainfall station,55.347002,-1.630189,423550.5603337966,605948.0807590258
005588,Rainfall station,55.174997,-1.521877,430550.5284993578,586848.1591383743
005782,Rainfall station,55.154354,-1.944254,403650.5610337657,584448.1105987647
006077,Rainfall station,55.207377,-2.040032,397550.5508665214,590348.1445742395
006403,Rainfall station,55.237908,-1.918977,405250.56601017516,593748.0630145689
007292,Rainfall station,55.033951,-1.969453,402050.5726451905,571048.1917515018
008062,Rainfall station,55.132825,-1.538065,429550.53440019226,582148.1551797375
008632,Rainfall station,55.047076,-1.446712,435450.5577557354,572648.136710569
008850,Rainfall station,55.255608,-2.540374,365750.5298726619,595848.0894549722
010312,Rainfall station,55.143004,-2.375693,376150.5309219968,583248.136702843
010660,Rainfall station,55.320859,-2.396284,374950.54585301643,603048.1063445227
013045,Rainfall station,54.742208,-2.378185,375750.5347067746,538648.243126161
013336,Rainfall station,54.774946,-2.516845,366850.5595468525,542348.1766738497
013553,Rainfall station,54.820161,-2.445834,371450.51094410423,547348.2206406
013878,Rainfall station,54.871077,-2.52275,366550.52448170993,553048.2101771078
014555,Rainfall station,54.97002,-2.500603,368050.5656547765,564048.1425105275
015347,Rainfall station,54.804602,-2.221644,385850.55137635954,545548.1992487153
016140,Rainfall station,54.960162,-2.160033,389850.570717536,562848.1214587782
017220,Rainfall station,55.01952,-1.881881,407650.56539913657,569448.2006795515
017651,Rainfall station,55.000299,-1.68497,420250.5259103207,567348.1972116365
018777,Rainfall station,54.860973,-1.670477,421250.56128629437,551848.2106153822
019271,Rainfall station,55.033344,-1.614307,424750.53811818606,571048.1289828211
021028,Rainfall station,54.938987,-1.393566,438950.5246990358,560648.1418081337
021228,Rainfall station,54.747962,-2.235316,384950.53496428445,539248.2876571687
022163,Rainfall station,54.761631,-1.902834,406350.550262076,540748.192707541
022994,Rainfall station,54.624106,-1.870637,408450.53701732936,525448.2220800262
023164,Rainfall station,54.610418,-1.740626,416850.56740635773,523948.2796476622
023839,Rainfall station,54.829815,-1.807716,412450.52503612,548348.1996930881
025394,Rainfall station,54.894495,-1.489343,432850.5259017422,555648.1622666782
025878,Rainfall station,54.823818,-1.36572,440850.51629638195,547848.1899706967
026090,Rainfall station,54.760776,-1.340287,442550.53587620496,540848.2040155629
026297,Rainfall station,54.701508,-1.198486,451750.5532789897,534348.2358339112
026644,Rainfall station,54.656189,-2.285935,381650.52791834,529048.2383552835
026958,Rainfall station,54.683225,-2.252002,383850.5567314313,532048.3014355131
028185,Rainfall station,54.560368,-1.983723,401150.52211829246,518348.25040832505
028502,Rainfall station,54.504568,-2.141258,390950.56540123315,512148.2756994473
030377,Rainfall station,54.526112,-1.506309,432050.5288435669,514648.324338553
031555,Rainfall station,54.469846,-1.099639,458450.51458091644,508648.35942057916
0323SO,Rainfall station,51.246536,0.022379,541250.5564152934,151649.5987964638
032822,Rainfall station,54.633845,-1.480219,433650.5264502477,526648.2612260538
033108NE,Rainfall station,54.543358,-1.201588,451750.54245007696,516748.3241515827
034091,Rainfall station,54.596104,-1.039588,462150.5639543863,522748.32977077586
034459,Rainfall station,54.518191,-0.964175,467150.5284446109,514148.26203607
035024NE,Rainfall station,54.505434,-0.84558,474850.56682398845,512848.30985703756
035103,Rainfall station,54.541989,-0.815179,476750.55770584516,516948.344022677
035302,Rainfall station,54.517093,-0.752561,480850.5742066988,514248.32106703013
035305,Rainfall station,54.486239,-0.724171,482750.5283931525,510848.3264254517
035488,Rainfall station,54.438313,-0.976984,466450.52369565354,505248.3533301161
